title,artist,top genre,followers,artist_popularity,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,track_popularity,is_dance_pop
"Hey, Soul Sister",Train,neo mellow,3.618665,78.0,2010,97.0,89.0,67.0,-4.0,8.0,80.0,217.0,19.0,4.0,83,0
Love The Way You Lie,Eminem,detroit hip hop,42.79582,95.0,2010,87.0,93.0,75.0,-5.0,52.0,64.0,263.0,24.0,23.0,82,0
TiK ToK,Kesha,dance pop,6.235482,82.0,2010,120.0,84.0,76.0,-3.0,29.0,71.0,200.0,10.0,14.0,80,1
Bad Romance,Lady Gaga,dance pop,16.716518,90.0,2010,119.0,92.0,70.0,-4.0,8.0,71.0,295.0,0.0,4.0,79,1
Just the Way You Are,Bruno Mars,pop,29.381078999999996,93.0,2010,109.0,84.0,64.0,-5.0,9.0,43.0,221.0,2.0,4.0,78,0
Baby,Justin Bieber,canadian pop,43.75545200000001,98.0,2010,65.0,86.0,73.0,-5.0,11.0,54.0,214.0,4.0,14.0,77,0
Dynamite,Taio Cruz,dance pop,1.899663,75.0,2010,120.0,78.0,75.0,-4.0,4.0,82.0,203.0,0.0,9.0,77,1
Secrets,OneRepublic,dance pop,11.507962,85.0,2010,148.0,76.0,52.0,-6.0,12.0,38.0,225.0,7.0,4.0,77,1
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,8.491202000000001,83.0,2010,93.0,37.0,48.0,-8.0,12.0,14.0,216.0,74.0,3.0,76,0
Only Girl (In The World),Rihanna,barbadian pop,41.858636,93.0,2010,126.0,72.0,79.0,-4.0,7.0,61.0,235.0,13.0,4.0,73,0
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,7.995771,83.0,2010,128.0,87.0,62.0,-4.0,6.0,47.0,235.0,3.0,3.0,73,1
Marry You,Bruno Mars,pop,29.381078999999996,93.0,2010,145.0,83.0,62.0,-5.0,10.0,48.0,230.0,33.0,4.0,73,0
Cooler Than Me - Single Mix,Mike Posner,dance pop,1.123621,76.0,2010,130.0,82.0,77.0,-5.0,70.0,63.0,213.0,18.0,5.0,73,1
Telephone,Lady Gaga,dance pop,16.716518,90.0,2010,122.0,83.0,83.0,-6.0,11.0,71.0,221.0,1.0,4.0,73,1
Like A G6,Far East Movement,dance pop,1.019001,71.0,2010,125.0,84.0,44.0,-8.0,12.0,78.0,217.0,1.0,45.0,72,1
OMG (feat. will.i.am),Usher,atl hip hop,8.554807,85.0,2010,130.0,75.0,78.0,-6.0,36.0,33.0,269.0,20.0,3.0,72,0
Eenie Meenie,Sean Kingston,dance pop,2.0445740000000003,76.0,2010,121.0,61.0,72.0,-4.0,11.0,83.0,202.0,5.0,3.0,71,1
The Time (Dirty Bit),The Black Eyed Peas,dance pop,10.515901,86.0,2010,128.0,81.0,82.0,-8.0,60.0,44.0,308.0,7.0,7.0,70,1
Alejandro,Lady Gaga,dance pop,16.716518,90.0,2010,99.0,80.0,63.0,-7.0,36.0,37.0,274.0,0.0,5.0,69,1
Your Love Is My Drug,Kesha,dance pop,6.235482,82.0,2010,120.0,61.0,83.0,-4.0,9.0,76.0,187.0,1.0,10.0,69,1
Meet Me Halfway,The Black Eyed Peas,dance pop,10.515901,86.0,2010,130.0,63.0,80.0,-7.0,32.0,40.0,284.0,0.0,7.0,68,1
Whataya Want from Me,Adam Lambert,australian pop,1.176878,68.0,2010,186.0,68.0,44.0,-5.0,6.0,45.0,227.0,1.0,5.0,66,0
Take It Off,Kesha,dance pop,6.235482,82.0,2010,125.0,68.0,73.0,-5.0,9.0,74.0,215.0,0.0,3.0,66,1
Misery,Maroon 5,pop,29.955690999999998,91.0,2010,103.0,81.0,70.0,-5.0,22.0,73.0,216.0,0.0,4.0,65,0
All The Right Moves,OneRepublic,dance pop,11.507962,85.0,2010,146.0,95.0,53.0,-4.0,28.0,65.0,238.0,26.0,5.0,65,1
Animal,Neon Trees,indie pop,1.006162,73.0,2010,148.0,83.0,48.0,-6.0,38.0,74.0,212.0,0.0,4.0,65,0
Naturally,Selena Gomez & The Scene,dance pop,6.3215,72.0,2010,133.0,90.0,61.0,-5.0,5.0,88.0,203.0,2.0,5.0,64,1
I Like It,Enrique Iglesias,dance pop,9.980979,81.0,2010,129.0,94.0,65.0,-3.0,6.0,73.0,231.0,2.0,9.0,63,1
Teenage Dream,Katy Perry,dance pop,17.821796,88.0,2010,120.0,80.0,72.0,-5.0,13.0,59.0,228.0,2.0,4.0,63,1
California Gurls,Katy Perry,dance pop,17.821796,88.0,2010,125.0,75.0,79.0,-4.0,18.0,40.0,235.0,0.0,5.0,62,1
3,Britney Spears,dance pop,8.732805,85.0,2010,135.0,71.0,70.0,-2.0,14.0,79.0,213.0,5.0,5.0,62,1
My First Kiss - feat. Ke$ha,3OH!3,dance pop,0.739929,70.0,2010,138.0,89.0,68.0,-4.0,36.0,83.0,192.0,1.0,8.0,62,1
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,6.235482,82.0,2010,120.0,84.0,75.0,-3.0,42.0,52.0,172.0,8.0,12.0,62,1
Imma Be,The Black Eyed Peas,dance pop,10.515901,86.0,2010,92.0,52.0,60.0,-7.0,31.0,41.0,258.0,18.0,37.0,62,1
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,8.491202000000001,83.0,2010,111.0,82.0,50.0,-5.0,13.0,55.0,249.0,16.0,11.0,62,0
Sexy Bitch (feat. Akon),David Guetta,dance pop,22.306494,91.0,2010,130.0,63.0,81.0,-5.0,13.0,80.0,196.0,8.0,5.0,61,1
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,5.976217,83.0,2010,164.0,41.0,29.0,-5.0,13.0,7.0,264.0,83.0,3.0,61,1
If I Had You,Adam Lambert,australian pop,1.176878,68.0,2010,131.0,91.0,65.0,-4.0,37.0,79.0,228.0,1.0,11.0,59,0
Rock That Body,The Black Eyed Peas,dance pop,10.515901,86.0,2010,125.0,91.0,72.0,-6.0,43.0,84.0,269.0,2.0,10.0,59,1
Dog Days Are Over,Florence + The Machine,art pop,5.513621,78.0,2010,150.0,81.0,50.0,-5.0,12.0,26.0,253.0,3.0,9.0,58,0
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,5.976217,83.0,2010,150.0,85.0,51.0,-4.0,12.0,72.0,185.0,47.0,27.0,58,1
Doesn't Mean Anything,Alicia Keys,hip pop,8.491202000000001,83.0,2010,104.0,41.0,71.0,-7.0,10.0,10.0,273.0,4.0,3.0,57,0
Hard,Rihanna,barbadian pop,41.858636,93.0,2010,182.0,75.0,31.0,-4.0,65.0,16.0,251.0,1.0,11.0,57,0
Loca,Shakira,colombian pop,21.244925,88.0,2010,112.0,87.0,80.0,-4.0,9.0,85.0,193.0,19.0,7.0,56,0
You Lost Me,Christina Aguilera,dance pop,5.976217,83.0,2010,43.0,39.0,23.0,-6.0,14.0,7.0,257.0,85.0,4.0,56,1
Not Myself Tonight,Christina Aguilera,dance pop,5.976217,83.0,2010,120.0,81.0,76.0,-5.0,56.0,54.0,186.0,0.0,4.0,55,1
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,0.765237,71.0,2010,91.0,95.0,64.0,-4.0,18.0,57.0,220.0,6.0,7.0,52,1
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,8.554807,85.0,2010,120.0,86.0,66.0,-3.0,8.0,65.0,221.0,3.0,11.0,52,0
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,3.668252,80.0,2010,80.0,86.0,45.0,-5.0,26.0,58.0,329.0,7.0,39.0,49,0
Break Your Heart,Taio Cruz,dance pop,1.899663,75.0,2010,122.0,90.0,67.0,-5.0,8.0,63.0,186.0,0.0,3.0,33,1
Hello,Martin Solveig,big room,1.167038,73.0,2010,128.0,98.0,67.0,-3.0,10.0,45.0,191.0,1.0,3.0,0,0
A Thousand Years,Christina Perri,dance pop,2.917625,76.0,2011,139.0,41.0,42.0,-7.0,11.0,16.0,285.0,31.0,3.0,81,1
Someone Like You,Adele,british soul,26.369721999999996,86.0,2011,135.0,33.0,56.0,-8.0,10.0,28.0,285.0,89.0,3.0,80,0
Give Me Everything,Pitbull,dance pop,8.302253,87.0,2011,129.0,94.0,67.0,-3.0,30.0,53.0,252.0,19.0,16.0,79,1
Just the Way You Are,Bruno Mars,pop,29.381078999999996,93.0,2011,109.0,84.0,64.0,-5.0,9.0,43.0,221.0,2.0,4.0,78,0
Rolling in the Deep,Adele,british soul,26.369721999999996,86.0,2011,105.0,76.0,73.0,-5.0,5.0,52.0,228.0,13.0,3.0,76,0
Run the World (Girls),Beyoncé,dance pop,26.71493,89.0,2011,127.0,90.0,73.0,-4.0,37.0,76.0,236.0,0.0,14.0,76,1
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,29.955690999999998,91.0,2011,128.0,76.0,72.0,-4.0,32.0,62.0,201.0,1.0,5.0,76,0
Love On Top,Beyoncé,dance pop,26.71493,89.0,2011,94.0,75.0,65.0,-5.0,60.0,65.0,267.0,8.0,9.0,76,1
Grenade,Bruno Mars,pop,29.381078999999996,93.0,2011,110.0,56.0,71.0,-7.0,12.0,23.0,223.0,15.0,6.0,75,0
Tonight Tonight,Hot Chelle Rae,dance pop,0.5114350000000001,67.0,2011,100.0,78.0,69.0,-5.0,16.0,81.0,200.0,8.0,12.0,75,1
What the Hell,Avril Lavigne,canadian pop,7.005908,81.0,2011,150.0,93.0,58.0,-4.0,14.0,88.0,221.0,0.0,5.0,74,0
Born This Way,Lady Gaga,dance pop,16.716518,90.0,2011,124.0,83.0,59.0,-5.0,33.0,49.0,260.0,0.0,16.0,73,1
Monster,Kanye West,chicago rap,13.560642000000001,93.0,2011,125.0,69.0,63.0,-6.0,67.0,10.0,379.0,0.0,20.0,73,0
Marry You,Bruno Mars,pop,29.381078999999996,93.0,2011,145.0,83.0,62.0,-5.0,10.0,48.0,230.0,33.0,4.0,73,0
Best Thing I Never Had,Beyoncé,dance pop,26.71493,89.0,2011,99.0,65.0,55.0,-4.0,9.0,30.0,254.0,14.0,3.0,73,1
Party Rock Anthem,LMFAO,dance pop,3.680054,72.0,2011,130.0,74.0,75.0,-4.0,27.0,35.0,262.0,2.0,16.0,72,1
We R Who We R,Kesha,dance pop,6.235482,82.0,2011,120.0,82.0,74.0,-5.0,12.0,65.0,205.0,1.0,4.0,72,1
Price Tag,Jessie J,australian pop,8.417336,77.0,2011,175.0,83.0,64.0,-4.0,27.0,68.0,223.0,3.0,18.0,72,0
Good Life,OneRepublic,dance pop,11.507962,85.0,2011,95.0,69.0,63.0,-8.0,13.0,65.0,253.0,8.0,5.0,72,1
Just Cant Get Enough,The Black Eyed Peas,dance pop,10.515901,86.0,2011,94.0,63.0,66.0,-9.0,11.0,26.0,219.0,19.0,18.0,71,1
On The Floor,Jennifer Lopez,dance pop,9.663594,81.0,2011,130.0,78.0,73.0,-5.0,7.0,57.0,285.0,11.0,5.0,69,1
What's My Name?,Rihanna,barbadian pop,41.858636,93.0,2011,100.0,79.0,69.0,-3.0,8.0,58.0,263.0,23.0,7.0,69,0
Yeah 3x,Chris Brown,dance pop,13.353299,91.0,2011,130.0,88.0,71.0,-3.0,9.0,70.0,242.0,0.0,4.0,69,1
Without You (feat. Usher),David Guetta,dance pop,22.306494,91.0,2011,128.0,61.0,61.0,-4.0,16.0,40.0,208.0,23.0,3.0,68,1
Sexy And I Know It,LMFAO,dance pop,3.680054,72.0,2011,130.0,86.0,71.0,-4.0,19.0,80.0,199.0,10.0,32.0,67,1
The Edge Of Glory,Lady Gaga,dance pop,16.716518,90.0,2011,128.0,77.0,58.0,-6.0,11.0,36.0,321.0,0.0,4.0,67,1
E.T.,Katy Perry,dance pop,17.821796,88.0,2011,152.0,87.0,62.0,-5.0,37.0,76.0,230.0,2.0,18.0,66,1
Till the World Ends,Britney Spears,dance pop,8.732805,85.0,2011,132.0,71.0,69.0,-6.0,20.0,45.0,238.0,2.0,7.0,65,1
I Wanna Go,Britney Spears,dance pop,8.732805,85.0,2011,130.0,55.0,70.0,-7.0,33.0,79.0,210.0,0.0,4.0,64,1
Blow,Kesha,dance pop,6.235482,82.0,2011,120.0,73.0,75.0,-4.0,7.0,81.0,220.0,0.0,4.0,64,1
You And I,Lady Gaga,dance pop,16.716518,90.0,2011,127.0,70.0,52.0,-5.0,9.0,52.0,307.0,9.0,5.0,64,1
Judas,Lady Gaga,dance pop,16.716518,90.0,2011,131.0,93.0,66.0,-4.0,27.0,53.0,249.0,0.0,7.0,63,1
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,9.980979,81.0,2011,126.0,89.0,65.0,-4.0,12.0,32.0,232.0,3.0,5.0,63,1
Please Don't Go,Mike Posner,dance pop,1.123621,76.0,2011,120.0,88.0,70.0,-4.0,13.0,66.0,197.0,0.0,3.0,63,1
We Found Love,Rihanna,barbadian pop,41.858636,93.0,2011,128.0,77.0,73.0,-4.0,11.0,60.0,215.0,3.0,4.0,61,0
Marry The Night,Lady Gaga,dance pop,16.716518,90.0,2011,131.0,88.0,61.0,-4.0,46.0,38.0,265.0,0.0,6.0,61,1
1+1,Beyoncé,dance pop,26.71493,89.0,2011,63.0,38.0,30.0,-7.0,7.0,26.0,274.0,38.0,3.0,60,1
Hold It Against Me,Britney Spears,dance pop,8.732805,85.0,2011,133.0,72.0,65.0,-5.0,24.0,39.0,229.0,1.0,4.0,59,1
I'm Into You,Jennifer Lopez,dance pop,9.663594,81.0,2011,84.0,75.0,59.0,-4.0,8.0,70.0,200.0,2.0,14.0,59,1
Papi,Jennifer Lopez,dance pop,9.663594,81.0,2011,120.0,81.0,71.0,-5.0,37.0,89.0,223.0,13.0,6.0,58,1
Cheers (Drink To That),Rihanna,barbadian pop,41.858636,93.0,2011,80.0,91.0,58.0,-4.0,29.0,73.0,262.0,2.0,4.0,58,0
S&M Remix,Rihanna,barbadian pop,41.858636,93.0,2011,128.0,81.0,82.0,-3.0,5.0,89.0,257.0,5.0,5.0,54,0
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,0.765237,71.0,2011,91.0,95.0,64.0,-4.0,18.0,57.0,220.0,6.0,7.0,52,1
Jar of Hearts,Christina Perri,dance pop,2.917625,76.0,2011,75.0,35.0,35.0,-6.0,12.0,9.0,247.0,73.0,3.0,50,1
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,3.668252,80.0,2011,80.0,86.0,45.0,-5.0,26.0,58.0,329.0,7.0,39.0,49,0
Turning Page,Sleeping At Last,acoustic pop,1.051626,77.0,2011,125.0,38.0,30.0,-8.0,11.0,19.0,255.0,91.0,3.0,46,0
Super Bass,Nicki Minaj,dance pop,20.733813,91.0,2011,127.0,74.0,77.0,-7.0,40.0,59.0,201.0,6.0,23.0,38,1
Raise Your Glass,P!nk,dance pop,10.558136,86.0,2011,122.0,64.0,68.0,-7.0,12.0,56.0,208.0,0.0,12.0,38,1
Invading My Mind,Jennifer Lopez,dance pop,9.663594,81.0,2011,129.0,88.0,73.0,-4.0,32.0,69.0,201.0,2.0,7.0,31,1
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,20.733813,91.0,2011,130.0,88.0,50.0,-4.0,22.0,37.0,279.0,39.0,38.0,28,1
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,17.821796,88.0,2011,126.0,81.0,65.0,-4.0,67.0,72.0,231.0,0.0,4.0,27,1
Firework,Katy Perry,dance pop,17.821796,88.0,2011,124.0,83.0,64.0,-5.0,11.0,65.0,228.0,14.0,5.0,25,1
Muny - Album Version (Edited),Nicki Minaj,dance pop,20.733813,91.0,2011,98.0,72.0,80.0,-5.0,19.0,53.0,227.0,56.0,33.0,7,1
Titanium (feat. Sia),David Guetta,dance pop,22.306494,91.0,2012,126.0,79.0,60.0,-4.0,13.0,30.0,245.0,7.0,10.0,80,1
Locked Out of Heaven,Bruno Mars,pop,29.381078999999996,93.0,2012,144.0,70.0,73.0,-4.0,31.0,87.0,233.0,5.0,4.0,79,0
Paradise,Coldplay,permanent wave,29.455218,90.0,2012,140.0,59.0,45.0,-7.0,8.0,20.0,279.0,5.0,3.0,79,0
Payphone,Maroon 5,pop,29.955690999999998,91.0,2012,110.0,75.0,74.0,-5.0,29.0,55.0,231.0,2.0,4.0,79,0
What Makes You Beautiful,One Direction,boy band,20.573,91.0,2012,125.0,79.0,73.0,-2.0,6.0,89.0,200.0,1.0,7.0,78,0
I Knew You Were Trouble.,Taylor Swift,pop,38.00574,98.0,2012,77.0,47.0,62.0,-7.0,3.0,68.0,220.0,0.0,4.0,77,0
Call Me Maybe,Carly Rae Jepsen,canadian pop,4.512754,76.0,2012,120.0,58.0,78.0,-7.0,11.0,66.0,193.0,1.0,4.0,76,0
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,6.3215,72.0,2012,117.0,68.0,86.0,-4.0,7.0,92.0,188.0,8.0,5.0,76,1
Set Fire to the Rain,Adele,british soul,26.369721999999996,86.0,2012,108.0,68.0,61.0,-4.0,13.0,47.0,242.0,0.0,3.0,76,0
We Are Never Ever Getting Back Together,Taylor Swift,pop,38.00574,98.0,2012,86.0,68.0,63.0,-6.0,12.0,75.0,193.0,1.0,9.0,75,0
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,7.4938600000000015,79.0,2012,116.0,94.0,56.0,-4.0,11.0,68.0,222.0,5.0,5.0,74,1
Try,P!nk,dance pop,10.558136,86.0,2012,104.0,63.0,67.0,-7.0,9.0,55.0,248.0,0.0,3.0,74,1
Starships,Nicki Minaj,dance pop,20.733813,91.0,2012,125.0,72.0,75.0,-2.0,25.0,75.0,211.0,14.0,8.0,73,1
One More Night,Maroon 5,pop,29.955690999999998,91.0,2012,93.0,82.0,72.0,-3.0,8.0,62.0,220.0,6.0,3.0,73,0
Good Time,Owl City,pop,2.060824,75.0,2012,126.0,87.0,56.0,-4.0,37.0,68.0,206.0,2.0,14.0,73,0
Glad You Came,The Wanted,boy band,2.215667,70.0,2012,127.0,85.0,72.0,-4.0,11.0,45.0,198.0,3.0,6.0,72,0
Beauty And A Beat,Justin Bieber,canadian pop,43.75545200000001,98.0,2012,128.0,84.0,60.0,-5.0,7.0,53.0,228.0,0.0,6.0,72,0
International Love,Pitbull,dance pop,8.302253,87.0,2012,120.0,86.0,67.0,-3.0,34.0,65.0,227.0,1.0,5.0,72,1
Some Nights,fun.,baroque pop,3.461092,73.0,2012,108.0,74.0,67.0,-7.0,9.0,39.0,277.0,2.0,5.0,72,0
Boyfriend,Justin Bieber,canadian pop,43.75545200000001,98.0,2012,97.0,55.0,72.0,-6.0,13.0,33.0,171.0,4.0,5.0,71,0
Part Of Me,Katy Perry,dance pop,17.821796,88.0,2012,130.0,92.0,68.0,-5.0,7.0,77.0,216.0,0.0,4.0,71,1
Domino,Jessie J,australian pop,8.417336,77.0,2012,127.0,55.0,76.0,-5.0,4.0,78.0,232.0,1.0,3.0,69,0
Where Have You Been,Rihanna,barbadian pop,41.858636,93.0,2012,128.0,85.0,72.0,-6.0,22.0,44.0,243.0,0.0,9.0,68,0
Wide Awake,Katy Perry,dance pop,17.821796,88.0,2012,160.0,68.0,51.0,-5.0,39.0,57.0,221.0,7.0,4.0,68,1
The One That Got Away,Katy Perry,dance pop,17.821796,88.0,2012,134.0,80.0,69.0,-4.0,16.0,88.0,227.0,0.0,4.0,67,1
Dance Again,Jennifer Lopez,dance pop,9.663594,81.0,2012,128.0,86.0,79.0,-5.0,10.0,71.0,237.0,2.0,7.0,66,1
Turn Up the Music,Chris Brown,dance pop,13.353299,91.0,2012,130.0,84.0,59.0,-6.0,16.0,64.0,228.0,0.0,10.0,65,1
Lights - Single Version,Ellie Goulding,dance pop,9.247324,84.0,2012,120.0,80.0,68.0,-6.0,13.0,78.0,211.0,3.0,4.0,65,1
We Are Young (feat. Janelle Monáe),fun.,baroque pop,3.461092,73.0,2012,184.0,64.0,38.0,-6.0,8.0,74.0,251.0,2.0,8.0,63,0
Diamonds,Rihanna,barbadian pop,41.858636,93.0,2012,92.0,71.0,56.0,-5.0,11.0,39.0,225.0,0.0,5.0,61,0
Don't Stop the Party (feat. TJR),Pitbull,dance pop,8.302253,87.0,2012,127.0,96.0,72.0,-4.0,38.0,95.0,206.0,1.0,9.0,59,1
You Da One,Rihanna,barbadian pop,41.858636,93.0,2012,127.0,72.0,70.0,-5.0,13.0,86.0,200.0,50.0,4.0,57,0
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,1.205858,78.0,2012,90.0,80.0,65.0,-3.0,27.0,80.0,211.0,3.0,10.0,54,1
It Will Rain,Bruno Mars,pop,29.381078999999996,93.0,2012,150.0,84.0,58.0,-7.0,8.0,48.0,258.0,34.0,5.0,38,0
Blow Me (One Last Kiss),P!nk,dance pop,10.558136,86.0,2012,114.0,92.0,60.0,-3.0,25.0,75.0,256.0,0.0,4.0,0,1
Underneath the Tree,Kelly Clarkson,dance pop,7.4938600000000015,79.0,2013,160.0,81.0,51.0,-5.0,21.0,69.0,230.0,0.0,5.0,88,1
Wake Me Up,Avicii,big room,19.367148999999998,86.0,2013,124.0,78.0,53.0,-6.0,16.0,64.0,247.0,0.0,5.0,85,0
Story of My Life,One Direction,boy band,20.573,91.0,2013,121.0,66.0,60.0,-6.0,12.0,29.0,245.0,23.0,5.0,81,0
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,10.558136,86.0,2013,95.0,55.0,78.0,-7.0,13.0,44.0,243.0,35.0,5.0,81,1
Hall of Fame,The Script,celtic rock,6.4921050000000005,79.0,2013,85.0,87.0,42.0,-4.0,12.0,63.0,203.0,7.0,6.0,80,0
Roar,Katy Perry,dance pop,17.821796,88.0,2013,180.0,77.0,55.0,-5.0,35.0,46.0,224.0,0.0,4.0,78,1
We Can't Stop,Miley Cyrus,dance pop,14.537891,90.0,2013,80.0,62.0,61.0,-6.0,37.0,48.0,231.0,1.0,3.0,78,1
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,3.244298,71.0,2013,129.0,84.0,61.0,-3.0,12.0,44.0,213.0,11.0,5.0,78,0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,7.5178660000000015,88.0,2013,116.0,81.0,79.0,-9.0,10.0,86.0,248.0,4.0,4.0,77,0
Wrecking Ball,Miley Cyrus,dance pop,14.537891,90.0,2013,120.0,42.0,53.0,-6.0,11.0,35.0,221.0,41.0,3.0,77,1
Impossible,James Arthur,pop,7.745596000000001,87.0,2013,170.0,70.0,38.0,-5.0,11.0,30.0,209.0,14.0,9.0,77,0
Blurred Lines,Robin Thicke,dance pop,1.6997349999999998,70.0,2013,120.0,60.0,85.0,-5.0,8.0,84.0,264.0,0.0,4.0,76,1
Heart Attack,Demi Lovato,dance pop,19.291866,87.0,2013,174.0,79.0,50.0,-5.0,24.0,50.0,211.0,7.0,10.0,76,1
We Are Never Ever Getting Back Together,Taylor Swift,pop,38.00574,98.0,2013,86.0,68.0,63.0,-6.0,12.0,75.0,193.0,1.0,9.0,75,0
Die Young,Kesha,dance pop,6.235482,82.0,2013,128.0,70.0,71.0,-5.0,22.0,80.0,212.0,0.0,5.0,75,1
Clarity,Zedd,complextro,5.400656,82.0,2013,128.0,78.0,51.0,-3.0,7.0,18.0,271.0,4.0,7.0,75,0
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,12.552754,90.0,2013,126.0,81.0,57.0,-6.0,13.0,11.0,215.0,2.0,6.0,74,0
Under Control,Calvin Harris,dance pop,21.442367,88.0,2013,126.0,92.0,54.0,-3.0,12.0,51.0,184.0,13.0,8.0,74,1
Everybody Talks,Neon Trees,indie pop,1.006162,73.0,2013,155.0,92.0,47.0,-4.0,31.0,73.0,177.0,0.0,6.0,74,0
"Hold On, We're Going Home",Drake,canadian hip hop,53.806406,100.0,2013,100.0,41.0,77.0,-7.0,7.0,29.0,228.0,0.0,10.0,73,0
Best Song Ever,One Direction,boy band,20.573,91.0,2013,118.0,88.0,65.0,-3.0,8.0,49.0,200.0,2.0,5.0,73,0
Kiss You,One Direction,boy band,20.573,91.0,2013,90.0,93.0,63.0,-3.0,32.0,91.0,183.0,2.0,6.0,73,0
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,21.442367,88.0,2013,128.0,93.0,57.0,-4.0,6.0,58.0,213.0,20.0,11.0,72,1
Lose Yourself to Dance,Daft Punk,electro,7.5178660000000015,88.0,2013,100.0,66.0,83.0,-8.0,8.0,67.0,354.0,8.0,6.0,72,0
Work Bitch,Britney Spears,dance pop,8.732805,85.0,2013,128.0,82.0,63.0,-7.0,7.0,85.0,248.0,16.0,16.0,71,1
Brave,Sara Bareilles,acoustic pop,1.60758,74.0,2013,185.0,84.0,55.0,-4.0,4.0,76.0,221.0,1.0,5.0,71,0
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2.5591459999999997,79.0,2013,146.0,93.0,63.0,-4.0,10.0,88.0,258.0,3.0,8.0,70,1
