title,artist,top genre,followers,artist_popularity,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,track_popularity,is_dance_pop
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,8.302253,87.0,2013,136.0,76.0,67.0,-4.0,34.0,54.0,230.0,4.0,16.0,70,1
Beneath Your Beautiful,Labrinth,pop,1.5564440000000002,83.0,2013,84.0,52.0,56.0,-6.0,10.0,23.0,272.0,23.0,4.0,70,0
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,5.945178,83.0,2013,125.0,68.0,66.0,-7.0,37.0,25.0,252.0,25.0,4.0,70,1
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2.5591459999999997,79.0,2013,95.0,53.0,78.0,-7.0,5.0,66.0,236.0,6.0,29.0,69,1
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,11.507962,85.0,2013,126.0,75.0,52.0,-6.0,14.0,16.0,215.0,26.0,4.0,69,1
The Way,Ariana Grande,dance pop,60.010425,97.0,2013,82.0,88.0,65.0,-3.0,8.0,86.0,227.0,29.0,11.0,68,1
Suit & Tie,Justin Timberlake,dance pop,10.515901,85.0,2013,102.0,60.0,80.0,-4.0,16.0,36.0,326.0,10.0,22.0,68,1
#thatPOWER,will.i.am,dance pop,3.341131,79.0,2013,128.0,61.0,80.0,-6.0,7.0,40.0,280.0,0.0,6.0,68,1
I Love It (feat. Charli XCX),Icona Pop,candy pop,0.662117,72.0,2013,126.0,91.0,71.0,-3.0,15.0,82.0,157.0,1.0,3.0,67,0
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,22.306494,91.0,2013,130.0,87.0,72.0,-3.0,66.0,68.0,209.0,4.0,4.0,67,1
Daylight,Maroon 5,pop,29.955690999999998,91.0,2013,120.0,67.0,66.0,-5.0,26.0,37.0,225.0,0.0,3.0,66,0
Love Somebody,Maroon 5,pop,29.955690999999998,91.0,2013,120.0,78.0,68.0,-6.0,12.0,40.0,230.0,13.0,4.0,65,0
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,4.3399019999999995,75.0,2013,130.0,62.0,76.0,-6.0,9.0,52.0,241.0,1.0,18.0,65,1
Move,Little Mix,dance pop,8.853859,85.0,2013,121.0,74.0,85.0,-5.0,55.0,77.0,224.0,0.0,9.0,63,1
Walks Like Rihanna,The Wanted,boy band,2.215667,70.0,2013,126.0,82.0,56.0,-3.0,10.0,43.0,202.0,1.0,6.0,62,0
Rock N Roll,Avril Lavigne,canadian pop,7.005908,81.0,2013,184.0,96.0,47.0,-3.0,34.0,67.0,207.0,1.0,13.0,61,0
Heartbreaker,Justin Bieber,canadian pop,43.75545200000001,98.0,2013,105.0,52.0,56.0,-7.0,34.0,58.0,263.0,14.0,10.0,61,0
Mirrors - Radio Edit,Justin Timberlake,dance pop,10.515901,85.0,2013,77.0,60.0,58.0,-6.0,43.0,65.0,277.0,14.0,5.0,60,1
Next To Me,Emeli Sandé,dance pop,2.012163,71.0,2013,95.0,80.0,67.0,-5.0,11.0,35.0,197.0,9.0,4.0,60,1
Made In The USA,Demi Lovato,dance pop,19.291866,87.0,2013,87.0,86.0,58.0,-4.0,32.0,59.0,196.0,0.0,4.0,60,1
Clown,Emeli Sandé,dance pop,2.012163,71.0,2013,130.0,23.0,45.0,-8.0,11.0,23.0,221.0,92.0,4.0,60,1
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,8.491202000000001,83.0,2013,93.0,81.0,55.0,-6.0,15.0,34.0,271.0,9.0,31.0,59,0
TKO,Justin Timberlake,dance pop,10.515901,85.0,2013,138.0,68.0,61.0,-7.0,43.0,49.0,424.0,1.0,24.0,58,1
Come & Get It,Selena Gomez,dance pop,26.161775,91.0,2013,80.0,79.0,55.0,-4.0,10.0,58.0,232.0,1.0,5.0,57,1
Live It Up,Jennifer Lopez,dance pop,9.663594,81.0,2013,128.0,73.0,69.0,-5.0,33.0,65.0,244.0,1.0,17.0,57,1
We Own The Night,The Wanted,boy band,2.215667,70.0,2013,104.0,94.0,55.0,-4.0,23.0,56.0,206.0,1.0,13.0,56,0
Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,permanent wave,29.455218,90.0,2013,136.0,45.0,28.0,-8.0,11.0,11.0,236.0,63.0,3.0,55,0
What About Love,Austin Mahone,dance pop,1.838097,66.0,2013,100.0,78.0,63.0,-7.0,4.0,28.0,203.0,0.0,4.0,54,1
Take Back the Night,Justin Timberlake,dance pop,10.515901,85.0,2013,107.0,66.0,59.0,-5.0,64.0,33.0,353.0,4.0,16.0,54,1
Applause,Lady Gaga,dance pop,16.716518,90.0,2013,140.0,78.0,67.0,-4.0,11.0,73.0,212.0,3.0,5.0,52,1
Anything Could Happen,Ellie Goulding,dance pop,9.247324,84.0,2013,103.0,78.0,70.0,-4.0,14.0,38.0,286.0,43.0,3.0,52,1
Finally Found You,Enrique Iglesias,dance pop,9.980979,81.0,2013,128.0,88.0,62.0,-5.0,35.0,66.0,221.0,1.0,10.0,52,1
Pom Poms,Jonas Brothers,boy band,5.067963,81.0,2013,148.0,98.0,68.0,-2.0,28.0,90.0,198.0,7.0,9.0,52,0
#Beautiful,Mariah Carey,dance pop,6.457953,82.0,2013,107.0,76.0,68.0,-5.0,31.0,45.0,200.0,29.0,4.0,51,1
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,8.853859,85.0,2013,201.0,95.0,36.0,-3.0,37.0,51.0,211.0,9.0,48.0,50,1
Crazy Kids (feat. will.i.am),Kesha,dance pop,6.235482,82.0,2013,128.0,75.0,72.0,-4.0,13.0,50.0,229.0,4.0,4.0,46,1
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,8.732805,85.0,2013,128.0,57.0,69.0,-5.0,11.0,73.0,257.0,2.0,5.0,45,1
People Like Us,Kelly Clarkson,dance pop,7.4938600000000015,79.0,2013,128.0,79.0,60.0,-5.0,36.0,61.0,259.0,4.0,4.0,45,1
Overdose,Ciara,dance pop,4.903077,76.0,2013,107.0,70.0,77.0,-6.0,6.0,79.0,227.0,1.0,3.0,43,1
Right Now - Dyro Radio Edit,Rihanna,barbadian pop,41.858636,93.0,2013,130.0,74.0,53.0,-6.0,24.0,45.0,186.0,0.0,4.0,42,0
Give It 2 U,Robin Thicke,dance pop,1.6997349999999998,70.0,2013,127.0,83.0,67.0,-4.0,16.0,58.0,230.0,10.0,7.0,41,1
Foolish Games,Jewel,alaska indie,0.51185,64.0,2013,132.0,34.0,51.0,-11.0,12.0,7.0,250.0,23.0,3.0,36,0
Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,8.302253,87.0,2013,95.0,84.0,71.0,-4.0,21.0,66.0,207.0,16.0,3.0,35,1
Freak,Kelly Rowland,atl hip hop,2.604931,72.0,2013,104.0,78.0,65.0,-5.0,12.0,45.0,274.0,13.0,6.0,28,0
All of Me,John Legend,neo mellow,5.566783,84.0,2014,120.0,26.0,42.0,-7.0,13.0,33.0,270.0,92.0,3.0,86,0
Stay With Me,Sam Smith,pop,15.89189,89.0,2014,84.0,42.0,42.0,-6.0,11.0,18.0,173.0,59.0,4.0,85,0
Summer,Calvin Harris,dance pop,21.442367,88.0,2014,128.0,86.0,60.0,-4.0,14.0,74.0,223.0,2.0,3.0,80,1
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,3.480349,83.0,2014,160.0,82.0,65.0,-5.0,9.0,96.0,233.0,22.0,18.0,79,1
Rude,MAGIC!,pop,1.196836,72.0,2014,144.0,76.0,77.0,-5.0,31.0,93.0,225.0,4.0,4.0,79,0
Shake It Off,Taylor Swift,pop,38.00574,98.0,2014,160.0,80.0,65.0,-5.0,33.0,94.0,219.0,6.0,17.0,78,0
Dark Horse,Katy Perry,dance pop,17.821796,88.0,2014,132.0,59.0,65.0,-6.0,17.0,35.0,216.0,0.0,5.0,78,1
Hey Brother,Avicii,big room,19.367148999999998,86.0,2014,125.0,78.0,55.0,-5.0,8.0,46.0,255.0,3.0,4.0,78,0
Maps,Maroon 5,pop,29.955690999999998,91.0,2014,120.0,71.0,74.0,-6.0,6.0,88.0,190.0,2.0,3.0,78,0
Treasure,Bruno Mars,pop,29.381078999999996,93.0,2014,116.0,69.0,87.0,-5.0,32.0,94.0,179.0,4.0,4.0,77,0
Let Her Go,Passenger,folk-pop,2.75047,78.0,2014,75.0,54.0,51.0,-7.0,10.0,24.0,253.0,39.0,6.0,77,0
Problem,Ariana Grande,dance pop,60.010425,97.0,2014,103.0,81.0,66.0,-5.0,16.0,63.0,194.0,2.0,15.0,75,1
Pompeii,Bastille,metropopolis,4.68205,81.0,2014,127.0,72.0,68.0,-6.0,27.0,57.0,214.0,8.0,4.0,73,0
Team,Lorde,art pop,7.3546679999999975,82.0,2014,100.0,58.0,69.0,-7.0,31.0,42.0,193.0,17.0,9.0,73,0
Love Me Again,John Newman,pop,0.635812,72.0,2014,126.0,89.0,50.0,-5.0,10.0,21.0,240.0,0.0,4.0,73,0
Latch,Disclosure,house,1.898791,80.0,2014,122.0,73.0,50.0,-5.0,9.0,52.0,256.0,2.0,17.0,72,0
Adore You,Miley Cyrus,dance pop,14.537891,90.0,2014,120.0,66.0,58.0,-5.0,11.0,20.0,279.0,11.0,3.0,72,1
Love Never Felt So Good,Michael Jackson,pop,17.848367,86.0,2014,118.0,72.0,78.0,-6.0,7.0,71.0,246.0,13.0,4.0,71,0
Burn,Ellie Goulding,dance pop,9.247324,84.0,2014,87.0,78.0,56.0,-5.0,11.0,33.0,231.0,31.0,4.0,71,1
She Looks So Perfect,5 Seconds of Summer,boy band,7.277893,85.0,2014,160.0,95.0,49.0,-4.0,33.0,44.0,202.0,0.0,13.0,71,0
Fancy,Iggy Azalea,australian hip hop,5.40993,77.0,2014,95.0,72.0,91.0,-4.0,5.0,38.0,200.0,9.0,7.0,70,0
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,9.081838000000001,89.0,2014,100.0,65.0,76.0,-7.0,31.0,76.0,178.0,3.0,23.0,68,1
Gorilla,Bruno Mars,pop,29.381078999999996,93.0,2014,140.0,54.0,72.0,-7.0,10.0,64.0,244.0,45.0,4.0,68,0
human,Christina Perri,dance pop,2.917625,76.0,2014,144.0,49.0,44.0,-6.0,11.0,25.0,251.0,13.0,4.0,68,1
Young Girls,Bruno Mars,pop,29.381078999999996,93.0,2014,126.0,75.0,56.0,-5.0,21.0,50.0,229.0,46.0,3.0,67,0
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,9.081838000000001,89.0,2014,82.0,62.0,70.0,-7.0,16.0,72.0,193.0,8.0,25.0,67,1
Love Runs Out,OneRepublic,dance pop,11.507962,85.0,2014,120.0,93.0,72.0,-4.0,8.0,74.0,225.0,17.0,6.0,66,1
This Is How We Do,Katy Perry,dance pop,17.821796,88.0,2014,96.0,64.0,69.0,-6.0,15.0,80.0,204.0,2.0,5.0,66,1
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,1.838097,66.0,2014,126.0,92.0,71.0,-4.0,27.0,98.0,232.0,0.0,4.0,65,1
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,4.3399019999999995,75.0,2014,130.0,62.0,76.0,-6.0,9.0,52.0,241.0,1.0,18.0,65,1
#SELFIE,The Chainsmokers,electropop,17.62492,86.0,2014,128.0,92.0,79.0,-3.0,8.0,66.0,184.0,1.0,25.0,65,0
Partition,Beyoncé,dance pop,26.71493,89.0,2014,186.0,44.0,41.0,-12.0,31.0,17.0,319.0,3.0,29.0,65,1
Birthday,Katy Perry,dance pop,17.821796,88.0,2014,126.0,67.0,72.0,-5.0,11.0,84.0,215.0,9.0,7.0,65,1
G.U.Y.,Lady Gaga,dance pop,16.716518,90.0,2014,110.0,92.0,62.0,-3.0,12.0,57.0,233.0,1.0,4.0,65,1
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,5.400656,82.0,2014,128.0,74.0,60.0,-3.0,9.0,46.0,217.0,11.0,4.0,64,0
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,19.291866,87.0,2014,140.0,66.0,50.0,-6.0,27.0,25.0,226.0,3.0,4.0,63,1
Wings,Birdy,neo mellow,3.222336,77.0,2014,83.0,71.0,47.0,-5.0,16.0,22.0,252.0,8.0,3.0,62,0
Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,21.244925,88.0,2014,138.0,81.0,69.0,-4.0,14.0,82.0,207.0,12.0,7.0,62,0
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,22.306494,91.0,2014,192.0,77.0,35.0,-4.0,12.0,4.0,191.0,6.0,5.0,61,1
Say Something,A Great Big World,neo mellow,0.44692299999999996,70.0,2014,138.0,15.0,45.0,-9.0,9.0,9.0,229.0,87.0,3.0,61,0
A Sky Full of Stars,Coldplay,permanent wave,29.455218,90.0,2014,125.0,68.0,55.0,-6.0,21.0,16.0,268.0,1.0,3.0,60,0
Come Get It Bae,Pharrell Williams,dance pop,3.480349,83.0,2014,120.0,80.0,93.0,-6.0,10.0,90.0,202.0,27.0,8.0,59,1
Chandelier,Sia,australian dance,19.105953,91.0,2014,174.0,78.0,29.0,-3.0,7.0,62.0,216.0,2.0,7.0,56,0
XO,Beyoncé,dance pop,26.71493,89.0,2014,170.0,79.0,47.0,-9.0,31.0,21.0,216.0,17.0,26.0,56,1
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,8.302253,87.0,2014,125.0,94.0,60.0,-4.0,10.0,55.0,222.0,0.0,7.0,56,1
Not About Angels,Birdy,neo mellow,3.222336,77.0,2014,116.0,14.0,41.0,-10.0,9.0,23.0,190.0,97.0,4.0,56,0
Drunk in Love,Beyoncé,dance pop,26.71493,89.0,2014,140.0,62.0,59.0,-7.0,18.0,40.0,323.0,1.0,5.0,52,1
Anaconda,Nicki Minaj,dance pop,20.733813,91.0,2014,130.0,60.0,96.0,-6.0,21.0,65.0,260.0,7.0,18.0,50,1
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2.267593,79.0,2014,92.0,81.0,68.0,-4.0,34.0,64.0,169.0,7.0,6.0,50,0
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,21.244925,88.0,2014,128.0,82.0,80.0,-5.0,35.0,61.0,198.0,18.0,4.0,50,0
Tee Shirt - Soundtrack Version,Birdy,neo mellow,3.222336,77.0,2014,76.0,34.0,68.0,-9.0,9.0,56.0,160.0,84.0,3.0,49,0
Words as Weapons,Birdy,neo mellow,3.222336,77.0,2014,120.0,35.0,53.0,-9.0,14.0,19.0,239.0,28.0,3.0,44,0
You're Mine (Eternal),Mariah Carey,dance pop,6.457953,82.0,2014,149.0,58.0,63.0,-7.0,38.0,56.0,224.0,28.0,7.0,38,1
Sheezus,Lily Allen,dance pop,1.687632,73.0,2014,130.0,50.0,78.0,-7.0,11.0,39.0,235.0,15.0,4.0,37,1
Cannonball,Lea Michele,hollywood,0.45588,58.0,2014,92.0,82.0,56.0,-3.0,19.0,57.0,215.0,2.0,5.0,37,0
It's On Again - Main Soundtrack,Alicia Keys,hip pop,8.491202000000001,83.0,2014,110.0,54.0,64.0,-9.0,25.0,53.0,230.0,10.0,11.0,30,0
I Luh Ya Papi,Jennifer Lopez,dance pop,9.663594,81.0,2014,96.0,73.0,74.0,-6.0,12.0,59.0,207.0,45.0,42.0,28,1
Not a Bad Thing,Justin Timberlake,dance pop,10.515901,85.0,2014,86.0,73.0,59.0,-6.0,38.0,46.0,266.0,27.0,6.0,0,1
Thinking out Loud,Ed Sheeran,pop,77.890588,94.0,2015,79.0,45.0,78.0,-6.0,18.0,59.0,282.0,47.0,3.0,84,0
I'm Not The Only One,Sam Smith,pop,15.89189,89.0,2015,82.0,49.0,68.0,-6.0,8.0,49.0,239.0,53.0,4.0,84,0
The Hills,The Weeknd,canadian contemporary r&b,30.336501000000002,98.0,2015,113.0,56.0,58.0,-7.0,14.0,14.0,242.0,7.0,5.0,84,0
Love Yourself,Justin Bieber,canadian pop,43.75545200000001,98.0,2015,100.0,38.0,61.0,-10.0,28.0,52.0,234.0,84.0,44.0,83,0
Uptown Funk,Mark Ronson,dance pop,0.8966729999999999,81.0,2015,115.0,61.0,86.0,-7.0,3.0,93.0,270.0,1.0,8.0,82,1
Take Me To Church,Hozier,irish singer-songwriter,4.554774,83.0,2015,129.0,66.0,57.0,-5.0,12.0,44.0,242.0,63.0,5.0,81,0
Sugar,Maroon 5,pop,29.955690999999998,91.0,2015,120.0,79.0,75.0,-7.0,9.0,88.0,235.0,6.0,3.0,81,0
Sorry,Justin Bieber,canadian pop,43.75545200000001,98.0,2015,100.0,76.0,65.0,-4.0,30.0,41.0,201.0,8.0,5.0,81,0
FourFiveSeconds,Rihanna,barbadian pop,41.858636,93.0,2015,206.0,27.0,58.0,-6.0,13.0,35.0,188.0,88.0,5.0,80,0
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,9.247324,84.0,2015,190.0,61.0,26.0,-7.0,13.0,28.0,253.0,25.0,5.0,79,1
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,30.336501000000002,98.0,2015,120.0,38.0,66.0,-6.0,10.0,44.0,252.0,39.0,3.0,79,0
What Do You Mean?,Justin Bieber,canadian pop,43.75545200000001,98.0,2015,125.0,57.0,85.0,-8.0,8.0,79.0,206.0,59.0,10.0,79,0
Stitches,Shawn Mendes,canadian pop,32.070046000000005,91.0,2015,150.0,75.0,75.0,-7.0,5.0,76.0,207.0,2.0,7.0,78,0
Want to Want Me,Jason Derulo,dance pop,9.081838000000001,89.0,2015,114.0,68.0,78.0,-6.0,11.0,66.0,208.0,1.0,6.0,77,1
My House,Flo Rida,dance pop,7.995771,83.0,2015,94.0,70.0,69.0,-5.0,13.0,74.0,192.0,2.0,5.0,77,1
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,0.306992,71.0,2015,120.0,51.0,83.0,-9.0,8.0,45.0,208.0,1.0,4.0,77,0
Night Changes,One Direction,boy band,20.573,91.0,2015,120.0,52.0,67.0,-8.0,12.0,37.0,227.0,86.0,4.0,77,0
How Deep Is Your Love,Calvin Harris,dance pop,21.442367,88.0,2015,122.0,87.0,74.0,-4.0,39.0,34.0,213.0,4.0,7.0,77,1
Never Forget You,Zara Larsson,dance pop,8.549389,83.0,2015,146.0,73.0,58.0,-6.0,27.0,28.0,213.0,0.0,5.0,77,1
Love Me Harder,Ariana Grande,dance pop,60.010425,97.0,2015,99.0,71.0,47.0,-4.0,8.0,24.0,236.0,1.0,3.0,76,1
Animals,Maroon 5,pop,29.955690999999998,91.0,2015,190.0,74.0,28.0,-6.0,59.0,33.0,231.0,0.0,9.0,76,0
Blame,Calvin Harris,dance pop,21.442367,88.0,2015,128.0,86.0,41.0,-4.0,34.0,35.0,213.0,3.0,8.0,76,1
Worth It,Fifth Harmony,dance pop,12.370978,76.0,2015,100.0,77.0,88.0,-4.0,12.0,59.0,225.0,6.0,9.0,75,1
Break Free,Ariana Grande,dance pop,60.010425,97.0,2015,130.0,70.0,69.0,-5.0,20.0,28.0,215.0,1.0,5.0,75,1
Don't,Ed Sheeran,pop,77.890588,94.0,2015,95.0,61.0,81.0,-7.0,64.0,85.0,220.0,1.0,7.0,74,0
Elastic Heart,Sia,australian dance,19.105953,91.0,2015,130.0,79.0,42.0,-5.0,15.0,50.0,257.0,1.0,5.0,73,0
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,4.255196,82.0,2015,121.0,59.0,80.0,-7.0,19.0,55.0,228.0,16.0,4.0,73,1
Hello,Adele,british soul,26.369721999999996,86.0,2015,158.0,45.0,48.0,-6.0,9.0,29.0,295.0,34.0,3.0,73,0
Dear Future Husband,Meghan Trainor,dance pop,10.213531,81.0,2015,79.0,78.0,66.0,-5.0,32.0,83.0,184.0,38.0,19.0,72,1
43776,Beyoncé,dance pop,26.71493,89.0,2015,136.0,71.0,75.0,-5.0,13.0,56.0,214.0,1.0,13.0,72,1
The Heart Wants What It Wants,Selena Gomez,dance pop,26.161775,91.0,2015,83.0,79.0,62.0,-5.0,14.0,62.0,227.0,5.0,4.0,72,1
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,22.306494,91.0,2015,86.0,73.0,60.0,-4.0,33.0,53.0,193.0,24.0,15.0,72,1
Genie In a Bottle,Christina Aguilera,dance pop,5.976217,83.0,2015,176.0,80.0,63.0,-7.0,14.0,91.0,218.0,21.0,16.0,72,1
Company,Justin Bieber,canadian pop,43.75545200000001,98.0,2015,95.0,80.0,59.0,-5.0,8.0,43.0,208.0,13.0,6.0,72,0
Sing,Ed Sheeran,pop,77.890588,94.0,2015,120.0,67.0,82.0,-4.0,6.0,94.0,235.0,30.0,5.0,71,0
Jealous - Remix,Nick Jonas,dance pop,7.1842,77.0,2015,93.0,71.0,68.0,-4.0,44.0,45.0,222.0,1.0,8.0,70,1
Really Don't Care,Demi Lovato,dance pop,19.291866,87.0,2015,121.0,73.0,71.0,-4.0,19.0,85.0,202.0,12.0,9.0,70,1
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2.5591459999999997,79.0,2015,110.0,61.0,83.0,-4.0,29.0,71.0,293.0,9.0,7.0,70,1
Only Love Can Hurt Like This,Paloma Faith,british soul,0.9212799999999999,67.0,2015,91.0,89.0,57.0,-5.0,33.0,31.0,233.0,10.0,8.0,69,0
Heartbeat Song,Kelly Clarkson,dance pop,7.4938600000000015,79.0,2015,149.0,80.0,49.0,-4.0,6.0,48.0,199.0,1.0,5.0,69,1
Up,Olly Murs,dance pop,2.937575,72.0,2015,115.0,85.0,69.0,-5.0,10.0,64.0,224.0,2.0,3.0,69,1
Trumpets,Jason Derulo,dance pop,9.081838000000001,89.0,2015,82.0,70.0,63.0,-5.0,10.0,64.0,217.0,56.0,24.0,69,1
Runnin' (Lose It All),Naughty Boy,tropical house,0.298039,65.0,2015,139.0,85.0,32.0,-6.0,48.0,8.0,213.0,1.0,8.0,69,0
Same Old Love,Selena Gomez,dance pop,26.161775,91.0,2015,98.0,59.0,67.0,-4.0,21.0,44.0,229.0,2.0,3.0,69,1
I Want You To Know,Zedd,complextro,5.400656,82.0,2015,130.0,85.0,58.0,-3.0,14.0,37.0,240.0,1.0,6.0,68,0
Lips Are Movin,Meghan Trainor,dance pop,10.213531,81.0,2015,139.0,83.0,78.0,-5.0,11.0,95.0,183.0,5.0,5.0,68,1
I'll Show You,Justin Bieber,canadian pop,43.75545200000001,98.0,2015,192.0,61.0,36.0,-7.0,18.0,8.0,200.0,5.0,10.0,68,0
Here,Alessia Cara,canadian contemporary r&b,8.589906,82.0,2015,120.0,82.0,38.0,-4.0,8.0,33.0,199.0,8.0,10.0,68,0
I Lived,OneRepublic,dance pop,11.507962,85.0,2015,120.0,85.0,59.0,-5.0,27.0,34.0,235.0,7.0,4.0,67,1
Fireball (feat. John Ryan),Pitbull,dance pop,8.302253,87.0,2015,123.0,94.0,69.0,-5.0,5.0,79.0,235.0,9.0,6.0,67,1
Easy Love,Sigala,dance pop,1.244632,79.0,2015,124.0,94.0,68.0,-4.0,12.0,65.0,230.0,18.0,6.0,67,1
The Feeling,Justin Bieber,canadian pop,43.75545200000001,98.0,2015,127.0,81.0,53.0,-6.0,10.0,21.0,245.0,8.0,6.0,67,0
I Really Like You,Carly Rae Jepsen,canadian pop,4.512754,76.0,2015,122.0,81.0,62.0,-5.0,22.0,60.0,205.0,1.0,4.0,66,0
BO$$,Fifth Harmony,dance pop,12.370978,76.0,2015,103.0,87.0,81.0,-5.0,5.0,74.0,171.0,1.0,11.0,66,1
Sugar,Maroon 5,pop,29.955690999999998,91.0,2015,120.0,79.0,75.0,-7.0,9.0,88.0,235.0,6.0,3.0,66,0
Focus,Ariana Grande,dance pop,60.010425,97.0,2015,100.0,88.0,67.0,-6.0,44.0,79.0,211.0,27.0,24.0,66,1
All About That Bass,Meghan Trainor,dance pop,10.213531,81.0,2015,134.0,88.0,81.0,-4.0,11.0,96.0,189.0,5.0,5.0,65,1
On My Mind,Ellie Goulding,dance pop,9.247324,84.0,2015,155.0,71.0,70.0,-7.0,9.0,74.0,213.0,26.0,5.0,65,1
Love Me Like You,Little Mix,dance pop,8.853859,85.0,2015,106.0,67.0,79.0,-4.0,28.0,85.0,198.0,21.0,4.0,65,1
Broken Arrows,Avicii,big room,19.367148999999998,86.0,2015,116.0,67.0,63.0,-7.0,10.0,29.0,233.0,5.0,5.0,65,0
Booty,Jennifer Lopez,dance pop,9.663594,81.0,2015,129.0,95.0,71.0,-4.0,26.0,40.0,210.0,0.0,5.0,64,1
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,43.75545200000001,98.0,2015,125.0,36.0,77.0,-11.0,10.0,76.0,204.0,79.0,4.0,64,0
Mark My Words,Justin Bieber,canadian pop,43.75545200000001,98.0,2015,114.0,26.0,38.0,-9.0,17.0,52.0,134.0,88.0,3.0,63,0
Lay It All on Me,Rudimental,dance pop,1.256618,78.0,2015,123.0,75.0,67.0,-7.0,19.0,48.0,242.0,14.0,4.0,62,1
